Firstname;Middlename;Surname;Location;Department;Function;OfficeLocation;SecurityGroup;Password
Henriette;;Fonteyn;Helmond;Management;Director;Headquarters;SG_Management;
Anja ;de;Groot;Helmond;Management;Director Assistant;Headquarters;SG_Management;
Norman;;Jorgens;Germany;Management;Country Director Germany;Holiday Park Germany;SG_Management;
Erica;;Bessels;Benelux;Management;Country Director Benelux;Holiday Park Benelux;SG_Management;
Jean;Jacques;Velo;Southern Europe;Management;Country Director Southern Europe;Holiday Park Southern Europe;SG_Management;
Antoon;van der ;Hoeven;Helmond;Development;Head of Development;Headquarters;SG_Development;
Freek ;van der ;Plas;Benelux;Deelopment;Development Employee;Holiday Park Benelux;SG_Development;
Fatima ;;Laroussi;Southern Europe;Management;Mergers & Acquisitions Employee;Holiday Park Southern Europe;SG_Management;
Jacob ;;Meester;Helmond;HR;Head of Human Resources;Headquarters;SG_HR;
Jelle;;Snelle;Helmond;Sales & Marketing;Head of Sales & Marketing;Headquarters;SG_Sales & Marketing;
Cheng ;;Fui;Helmond;Sales & Marketing;Sales Employee;Headquarters;SG_Sales & Marketing;
Harrie ;;Makers;Helmond;Operations;Head of Operations;Headquarters;SG_Operations;
Eric ;de ;Knutselaar;Southern Europe;Operations;Technical Service Employee;Holiday Park Southern Europe;SG_Operations;
Piet;;Poetser;Germany;Operations;Cleaner;Holiday Park Germany;SG_Operations;
Francien ;de;Kok;Helmond;Food & Beverages;Head of Food & Beverages;Headquarters;SG_Food & Beverages;
Mohammed ;;Ozturk;Helmond;Hospitality;Head of Hospitality;Headquarters;SG_Hospitality;
Jacob ;de ;Strugge;Helmond;ICT & Security;Head of ICT & Security;Headquarters;SG_ICT & Security;
Anna;van der ;Meer;Germany;HR;HR Employee;Holiday Park Germany;SG_HR;
Noah;;Schmidt;Southern Europe;Sales & Marketing;Sales Employee;Holiday Park Southern Europe;SG_Sales & Marketing;
Emma;;Janssen;Germany;Operations;Technical Service Employee;Holiday Park Germany;SG_Operations;
Finn;;Muller;Benelux;Accounts Receivable;Accounts Receivable Employee;Holiday Park Benelux;SG_Accounts Receivable;
Sophie;de;Jong;Germany;Sales & Marketing;Reservations Employee;Holiday Park Germany;SG_Sales & Marketing;
Lucas;;Bauer;Southern Europe;Operations;Cleaner;Holiday Park Southern Europe;SG_Operations;
Julia;van der ;Laan;Benelux;HR;HR Employee;Holiday Park Benelux;SG_HR;
Ben ;;Petersen;Germany;Administration;Administration Employee;Holiday Park Germany;SG_Administration;
Mila;van ;Dijk;Southern Europe;Operations;Parking Attendant;Holiday Park Southern Europe;SG_Operations;
Luis ;;Gomez;Helmond;Reporting & Control;Reporting & Control Employee;Headquarters;SG_Reporting & Control;
Lena;;Fischer;Benelux;ICT & Security;ICT & Security Employee;Holiday Park Benelux;SG_ICT & Security;
Felix;;Wagner;Helmond;Operations;Technical Service Employee;Headquarters;SG_Operations;
Lotte;van der ;Berg;Southern Europe;Accounts Receivable;Accounts Receivable Employee;Holiday Park Southern Europe;SG_Accounts Receivable;
Timo;;Muller;Helmond;Sales & Marketing;Sales Employee;Headquarters;SG_Sales & Marketing;
Marieke;van der ;Veen;Benelux;HR;HR Employee;Holiday Park Benelux;SG_HR;
Jonas;;Schmidt;Southern Europe;Sales & Marketing;Reservations Employee;Holiday Park Southern Europe;SG_Sales & Marketing;
Lisa;de;Boer;Germany;Operations;Cleaner;Holiday Park Germany;SG_Operations;
Tom;van;Beek;Helmond;ICT & Security;ICT & Security Employee;Headquarters;SG_ICT & Security;
Sarah;;Bauer;Benelux;Operations;Parking Attendant;Holiday Park Benelux;SG_Operations;
Max ;;Schimtz;Southern Europe;Reporting & Control;Reporting & Control Employee;Holiday Park Southern Europe;SG_Reporting & Control;
Nora;;Peters;Helmond;Sales & Marketing;Sales Employee;Headquarters;SG_Sales & Marketing;
Niklas;;Wimmer;Southern Europe;Accounts Receivable;Accounts Receivable Employee;Holiday Park Southern Europe;SG_Accounts Receivable;
Eva ;van;Dam;Benelux;Operations;Parking Attendant;Holiday Park Benelux;SG_Operations;
Johannes;;Krause;Helmond;Administration;Administration Employee;Headquarters;SG_Administration;
Amelie;van der ;Gucht;Benelux;HR;HR Employee;Holiday Park Benelux;SG_HR;
Jan;;Meijer;Southern Europe;ICT & Security;ICT & Security Employee;Holiday Park Southern Europe;SG_ICT & Security;
Paula;;Kuhn;Germany;Reporting & Control;Reporting & Control Employee;Holiday Park Germany;SG_Reporting & Control;
Leonie;van der ;Wal;Helmond;Operations;Technical Service Employee;Headquarters;SG_Operations;
Niklas;;Braun;Helmond;Operations;Technical Service Employee;Headquarters;SG_Operations;
Laura;;Scholten;Southern Europe;Administration;Administration Employee;Holiday Park Southern Europe;SG_Administration;
David ;;Schroder;Benelux;Hospitality;Hospitality Employee;Holiday Park Benelux;SG_Hospitality;
Sofia ;;Meyer;Germany;Operations;Cleaner;Holiday Park Germany;SG_Operations;
Simon; van der ;Ven;Benelux;ICT & Security;ICT & Security Employee;Holiday Park Benelux;SG_ICT & Security;
